Run 4748: Mean_no_cut = 0.9966, Mean_PID = 0.9995, Mean_PID_Delta = 0.9986, Sigma_cut = 0.0301, Sigma_PID = 0.0281, Sigma_PID_Delta = 0.0262
Run 6902: Mean_no_cut = 1.0013, Mean_PID = 1.0014, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0259
Run 3788: Mean_no_cut = 0.9983, Mean_PID = 0.9985, Mean_PID_Delta = 0.9982, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0260
Run 2789: Mean_no_cut = 0.9973, Mean_PID = 0.9977, Mean_PID_Delta = 0.9972, Sigma_cut = 0.0284, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 6407: Mean_no_cut = 0.9999, Mean_PID = 1.0017, Mean_PID_Delta = 1.0011, Sigma_cut = 0.0290, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 2195: Mean_no_cut = 1.0023, Mean_PID = 1.0043, Mean_PID_Delta = 1.0058, Sigma_cut = 0.0305, Sigma_PID = 0.0295, Sigma_PID_Delta = 0.0280
Run 6938: Mean_no_cut = 1.0016, Mean_PID = 1.0021, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0283, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 4988: Mean_no_cut = 0.9996, Mean_PID = 1.0009, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0306, Sigma_PID = 0.0293, Sigma_PID_Delta = 0.0279
Run 5282: Mean_no_cut = 0.9999, Mean_PID = 1.0006, Mean_PID_Delta = 1.0001, Sigma_cut = 0.0286, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 4230: Mean_no_cut = 1.0001, Mean_PID = 1.0004, Mean_PID_Delta = 0.9999, Sigma_cut = 0.0283, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0261
Run 6939: Mean_no_cut = 1.0017, Mean_PID = 1.0022, Mean_PID_Delta = 1.0016, Sigma_cut = 0.0282, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 3728: Mean_no_cut = 0.9992, Mean_PID = 0.9996, Mean_PID_Delta = 0.9993, Sigma_cut = 0.0282, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 6871: Mean_no_cut = 1.0013, Mean_PID = 1.0014, Mean_PID_Delta = 1.0009, Sigma_cut = 0.0281, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0259
Run 3243: Mean_no_cut = 1.0005, Mean_PID = 0.9998, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0282, Sigma_PID = 0.0289, Sigma_PID_Delta = 0.0262
