Run 4253: Mean_no_cut = 1.0001, Mean_PID = 1.0004, Mean_PID_Delta = 0.9999, Sigma_cut = 0.0284, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0262
Run 6250: Mean_no_cut = 1.0003, Mean_PID = 0.9980, Mean_PID_Delta = 1.0253, Sigma_cut = 0.0282, Sigma_PID = 0.0339, Sigma_PID_Delta = 0.1994
Run 6888: Mean_no_cut = 0.0000, Mean_PID = 0.0000, Mean_PID_Delta = 0.0000, Sigma_cut = 0.0000, Sigma_PID = 0.0000, Sigma_PID_Delta = 0.0000
Run 4226: Mean_no_cut = 1.0004, Mean_PID = 1.0007, Mean_PID_Delta = 1.0004, Sigma_cut = 0.0284, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0263
Run 1539: Mean_no_cut = 0.9940, Mean_PID = 0.9949, Mean_PID_Delta = 0.9955, Sigma_cut = 0.0315, Sigma_PID = 0.0304, Sigma_PID_Delta = 0.0290
Run 6475: Mean_no_cut = 0.9979, Mean_PID = 1.0013, Mean_PID_Delta = 1.0005, Sigma_cut = 0.0286, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0255
Run 6958: Mean_no_cut = 1.0010, Mean_PID = 1.0035, Mean_PID_Delta = 1.0033, Sigma_cut = 0.0292, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0254
Run 6906: Mean_no_cut = 1.0018, Mean_PID = 1.0019, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 2848: Mean_no_cut = 0.9974, Mean_PID = 0.9976, Mean_PID_Delta = 0.9973, Sigma_cut = 0.0283, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0261
Run 7009: Mean_no_cut = 1.0020, Mean_PID = 1.0023, Mean_PID_Delta = 1.0019, Sigma_cut = 0.0279, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0255
Run 6403: Mean_no_cut = 1.0002, Mean_PID = 1.0006, Mean_PID_Delta = 1.0000, Sigma_cut = 0.0281, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0258
Run 6970: Mean_no_cut = 0.0000, Mean_PID = 0.0000, Mean_PID_Delta = 0.0000, Sigma_cut = 0.0000, Sigma_PID = 0.0000, Sigma_PID_Delta = 0.0000
Run 5904: Mean_no_cut = 0.9985, Mean_PID = 1.0014, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0291, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 6810: Mean_no_cut = 1.0000, Mean_PID = 1.0020, Mean_PID_Delta = 1.0014, Sigma_cut = 0.0286, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0255
Run 2976: Mean_no_cut = 0.9992, Mean_PID = 0.9996, Mean_PID_Delta = 0.9989, Sigma_cut = 0.0293, Sigma_PID = 0.0287, Sigma_PID_Delta = 0.0272
Run 6185: Mean_no_cut = 1.0011, Mean_PID = 1.0015, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0289, Sigma_PID = 0.0283, Sigma_PID_Delta = 0.0268
Run 6867: Mean_no_cut = 1.0015, Mean_PID = 1.0017, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0281, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 5560: Mean_no_cut = 1.0003, Mean_PID = 1.0029, Mean_PID_Delta = 1.0030, Sigma_cut = 0.0292, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
Run 6907: Mean_no_cut = 1.0019, Mean_PID = 1.0021, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 6959: Mean_no_cut = 1.0011, Mean_PID = 1.0035, Mean_PID_Delta = 1.0033, Sigma_cut = 0.0293, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0253
Run 6971: Mean_no_cut = 0.0000, Mean_PID = 0.0000, Mean_PID_Delta = 0.0000, Sigma_cut = 0.0000, Sigma_PID = 0.0000, Sigma_PID_Delta = 0.0000
Run 4972: Mean_no_cut = 0.9999, Mean_PID = 1.0009, Mean_PID_Delta = 1.0006, Sigma_cut = 0.0297, Sigma_PID = 0.0287, Sigma_PID_Delta = 0.0272
Run 4561: Mean_no_cut = 0.9987, Mean_PID = 0.9989, Mean_PID_Delta = 0.9980, Sigma_cut = 0.0287, Sigma_PID = 0.0281, Sigma_PID_Delta = 0.0265
Run 6811: Mean_no_cut = 1.0001, Mean_PID = 1.0022, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0286, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0256
Run 5428: Mean_no_cut = 1.0004, Mean_PID = 1.0011, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0287, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0262
Run 5511: Mean_no_cut = 0.9993, Mean_PID = 0.9998, Mean_PID_Delta = 0.9998, Sigma_cut = 0.0299, Sigma_PID = 0.0291, Sigma_PID_Delta = 0.0270
Run 6976: Mean_no_cut = 1.0009, Mean_PID = 1.0010, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0278, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0258
Run 5052: Mean_no_cut = 0.9984, Mean_PID = 0.9996, Mean_PID_Delta = 0.9988, Sigma_cut = 0.0293, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0262
